C:\Users\Jerome\AppData\Roaming\Python\Python312\site-packages\cupy\_environment.py:284: UserWarning: CUDA path could not be detected. Set CUDA_PATH environment variable if CuPy fails to load.
  warnings.warn(
seed   1: coda/E1  -47.9 dB, abs -110.6, E1 0.00074, tail 0.023, 53s
seed   2: coda/E1  -57.0 dB, abs -118.5, E1 0.00084, tail 0.036, 46s
seed   3: coda/E1  -42.0 dB, abs -113.6, E1 0.00026, tail 0.082, 47s
seed   4: coda/E1  -30.9 dB, abs -105.0, E1 0.00020, tail 0.055, 47s
seed   5: coda/E1  -33.0 dB, abs -107.4, E1 0.00019, tail 0.084, 56s
seed   6: coda/E1  -48.7 dB, abs -105.3, E1 0.00148, tail 0.011, 51s
seed   7: coda/E1  -51.5 dB, abs -117.7, E1 0.00049, tail 0.023, 47s
seed   8: coda/E1  -34.9 dB, abs -107.4, E1 0.00024, tail 0.077, 47s
seed   9: coda/E1  -32.8 dB, abs  -96.5, E1 0.00065, tail 0.035, 48s
seed  10: coda/E1  -55.0 dB, abs -113.9, E1 0.00114, tail 0.015, 47s
seed  11: coda/E1  -41.6 dB, abs -106.9, E1 0.00055, tail 0.068, 47s
seed  12: coda/E1  -44.3 dB, abs -109.8, E1 0.00053, tail 0.026, 51s
seed  13: coda/E1  -58.4 dB, abs -113.2, E1 0.00183, tail 0.012, 50s
seed  14: coda/E1  -46.9 dB, abs -107.3, E1 0.00095, tail 0.019, 45s
seed  15: coda/E1  -40.3 dB, abs -109.5, E1 0.00035, tail 0.036, 45s
seed  16: coda/E1  -50.1 dB, abs -111.7, E1 0.00083, tail 0.017, 54s
seed  17: coda/E1  -50.1 dB, abs -110.1, E1 0.00100, tail 0.022, 45s
seed  18: coda/E1  -41.7 dB, abs -108.8, E1 0.00044, tail 0.045, 46s
seed  19: coda/E1  -38.0 dB, abs -101.4, E1 0.00068, tail 0.024, 51s
seed  20: coda/E1  -49.6 dB, abs -111.0, E1 0.00085, tail 0.036, 47s
seed  21: coda/E1  -49.2 dB, abs -111.6, E1 0.00076, tail 0.016, 47s
seed  22: coda/E1  -38.5 dB, abs -115.2, E1 0.00015, tail 0.101, 47s
seed  23: coda/E1  -38.9 dB, abs -106.5, E1 0.00041, tail 0.020, 47s
seed  24: coda/E1  -38.5 dB, abs -106.3, E1 0.00041, tail 0.033, 58s
seed  25: coda/E1  -47.3 dB, abs -113.4, E1 0.00049, tail 0.116, 51s
seed  26: coda/E1  -46.5 dB, abs -113.8, E1 0.00043, tail 0.040, 47s
seed  27: coda/E1  -43.6 dB, abs -113.7, E1 0.00031, tail 0.030, 47s
seed  28: coda/E1  -53.0 dB, abs -116.6, E1 0.00067, tail 0.025, 53s
seed  29: coda/E1  -46.1 dB, abs -111.8, E1 0.00052, tail 0.107, 52s
seed  30: coda/E1  -46.4 dB, abs -113.3, E1 0.00045, tail 0.024, 47s
seed  31: coda/E1  -34.1 dB, abs -107.6, E1 0.00021, tail 0.069, 51s
seed  32: coda/E1  -49.4 dB, abs -110.3, E1 0.00091, tail 0.015, 47s
seed  33: coda/E1  -44.6 dB, abs -113.6, E1 0.00036, tail 0.031, 47s
seed  34: coda/E1  -37.1 dB, abs -113.0, E1 0.00016, tail 0.039, 47s
seed  35: coda/E1  -49.1 dB, abs -114.2, E1 0.00056, tail 0.032, 48s
seed  36: coda/E1  -44.7 dB, abs -112.0, E1 0.00043, tail 0.042, 52s
seed  37: coda/E1  -30.7 dB, abs  -96.4, E1 0.00051, tail 0.043, 57s
seed  38: coda/E1  -48.5 dB, abs -115.5, E1 0.00045, tail 0.036, 47s
seed  39: coda/E1  -43.5 dB, abs -112.3, E1 0.00036, tail 0.035, 47s
seed  40: coda/E1  -35.3 dB, abs -101.5, E1 0.00049, tail 0.039, 47s

ENSEMBLE (n=40, aligned fabric, seeds 1-40):
coda/E1 : mean -44.0 dB, std 7.0, range [-58.4, -30.7]
E1      : mean 0.00058, cv 60%
max tail/E1 across seeds: 0.116 (stability across realisations)
