name,kind,seed,sweep,seed,kappa,contrast_f,is_single_max,is_girdle,ppw,h_mm,fabric_axis_phi_deg,fabric_axis_tilt_deg,vol_disc_cm3,n_grain,d_mean_mm,d_median_mm,d_cv,d_skew,d_max_mm,vol_cv,vol_frac_largest,vol_frac_top10,elong_mean,elong_median,elong_p90,flatten_mean,elong_axis_a1,elong_axis_phi_deg,elong_axis_tilt_deg,nn_seed_mm,nn_seed_cv,n_facet,area_total_cm2,sv_per_mm,facet_area_mean_mm2,facet_area_median_mm2,facet_area_cv,facet_area_top10_frac,faces_per_grain,faces_per_grain_sd,normal_a1,normal_a2,normal_a3,normal_absz,normal_h2_amp,normal_h2_phase_deg,a1_count,a1_vol,a2_count,a2_vol,a3_count,a3_vol,a1_vol_minus_count,e1_phi_deg,e1_tilt_deg,e3_phi_deg,e3_tilt_deg,fabaxis_meas_phi_deg,fabaxis_meas_tilt_deg,misor_mean_deg,misor_median_deg,misor_sd_deg,misor_p90_deg,misor_frac_lt10,misor_adj_deg,misor_all_deg,clust_ratio,clust_z,moran_i,moran_z,misor_dist_rho,misor_dist_p,n_cross_axis_full_m,n_cross_axis_gate_m,n_cross_col_full_m,n_cross_col_gate_m,n_cross_paper_m,n_grain_axis_m,n_grain_col_gate_m,chord_axis_mm_m,c_axis_ms_m,c_vol_ms_m,c_slow_ms_m,v_sd_ms_m,dv_all_rms_m,dv_cross_rms_m,bright_half_area_m,misor_cross_deg_m,normal_align_m,facing_frac_10_m,skew_deg_m,cos2_beam_m,a1_col_m,dark_all_0.001_m,dark_all_0.01_m,dark_cross_0.001_m,dv_ray_quad,c_min,c_max,c_az_sd,c_aniso_pct,c_h0,c_h1_amp,c_h1_phase_deg,c_h1_frac,c_h2_amp,c_h2_phase_deg,c_h2_frac,c_h3_amp,c_h3_phase_deg,c_h3_frac,c_h4_amp,c_h4_phase_deg,c_h4_frac,cslow_min,cslow_max,cslow_az_sd,cslow_aniso_pct,cslow_h0,cslow_h1_amp,cslow_h1_phase_deg,cslow_h1_frac,cslow_h2_amp,cslow_h2_phase_deg,cslow_h2_frac,cslow_h3_amp,cslow_h3_phase_deg,cslow_h3_frac,cslow_h4_amp,cslow_h4_phase_deg,cslow_h4_frac,cos2_min,cos2_max,cos2_az_sd,cos2_aniso_pct,cos2_h0,cos2_h1_amp,cos2_h1_phase_deg,cos2_h1_frac,cos2_h2_amp,cos2_h2_phase_deg,cos2_h2_frac,cos2_h3_amp,cos2_h3_phase_deg,cos2_h3_frac,cos2_h4_amp,cos2_h4_phase_deg,cos2_h4_frac
girdle_s11,girdle,11,girdle_perp_ppw8,11,-8,1,0,1,8,0.240625,0,0,275.96406,104,15.454786,15.913933,0.35511489,-0.040901515,33.948315,1.0043842,0.074233645,0.30361643,1.9499394,1.981759,3.9024143,1.4375696,0.46029366,73.531408,3.4113291,8.6209416,0.35460649,535,652.67289,0.23650649,121.99493,87.603291,1.0454745,0.33617598,10.288462,3.8507926,0.35992358,0.33905482,0.3010216,0.47254947,0.039950762,130.22363,0.48014713,0.53444686,0.44954014,0.39327116,0.070312732,0.07228198,0.054299732,82.940905,34.420023,176.34481,4.9522548,176.34481,4.9522548,52.529402,53.762599,22.782483,82.675437,0.029943206,52.529402,50.18591,1.0466962,1.6314422,-0.059557148,-1.4491762,-0.022511066,0.099498506,10.9,3.0166667,10.952417,2.5726667,69.033333,10.216667,11.816667,10.002844,3850.8705,3843.1554,3842.5275,48.299716,0.0090601744,0.00951872,0.16132584,56.22984,0.61849365,0.015459996,3.2246705,0.28200667,0.58347048,0.12654598,0.72276091,0.14834587,0.0092792421,3830.3527,3877.9426,14.536384,1.2358226,3850.8705,0.022166087,101.80143,1.1823186e-06,9.624332,171.1178,0.22289362,0.0065747385,4.2819013,1.0401918e-07,14.370452,87.100385,0.49693241,3826.647,3864.6809,11.431534,0.98981561,3842.5275,2.2437375e-13,2.1547871,1.9588642e-28,9.1850171,170.99961,0.32826167,2.492235e-13,0.1615251,2.4167861e-28,13.133157,86.607153,0.67111739,0.075240141,0.48877319,0.14765786,146.63946,0.28200667,4.8619011e-17,184.10441,5.5127507e-32,0.20707227,85.556968,1,1.0757506e-16,12.158089,2.6988533e-31,1.1106925e-17,12.137168,2.8770259e-33
girdle_s7,girdle,7,mx_girdle_s7_ppw8,7,-8,1,0,1,8,0.240625,0,0,275.96406,101,15.592838,15.591439,0.35129672,0.23124267,31.454473,1.0086173,0.059046389,0.33740954,1.8161143,1.9374286,3.521467,1.3662593,0.495341,24.269578,5.0592562,8.8773999,0.32120505,501,627.61128,0.22742501,125.27171,91.424717,1.0095963,0.32734536,9.9207921,3.9387388,0.3782394,0.34942441,0.2723362,0.44143878,0.03621612,90.519683,0.49391801,0.57936269,0.45403845,0.3662796,0.052043543,0.054357717,0.085444674,91.236619,5.1673863,1.4528442,2.3896002,1.4528442,2.3896002,47.116771,46.803346,23.508705,78.441232,0.050588127,47.116771,48.188133,0.9777671,-1.4927613,0.042114238,-0.24706739,0.019010458,0.17678051,11.716667,2.3666667,10.921833,2.3485,61.666667,10.533333,11.733333,9.7501031,3849.4505,3851.9963,3851.2975,49.89069,0.0089960893,0.0081624767,0.17042828,51.424839,0.57374754,0.020451989,3.4272894,0.31626708,0.70970974,0.13079487,0.71865034,0.13563068,0.0093797236,3803.8555,3883.7732,22.062686,2.0760803,3849.4505,0.041115035,111.69323,1.76585e-06,15.277227,68.853348,0.24380441,0.022018175,103.96607,5.0642501e-07,24.091741,6.4885896,0.60630181,3820.7624,3886.7056,20.7549,1.7122331,3851.2975,2.0059186e-13,2.530725,4.749573e-29,8.2236377,84.353514,0.07982812,2.4214662e-13,2.2610701,6.9212542e-29,27.917693,1.4833627,0.91999825,0.055198573,0.57733559,0.18637282,165.0937,0.31626708,2.3540488e-17,229.40916,8.1121317e-33,0.26136532,91.365419,1,7.7675146e-17,23.796655,8.8321867e-32,1.7504201e-17,21.340668,4.4852709e-33
girdle_s17,girdle,17,mx_girdle_s17_ppw8,17,-8,1,0,1,8,0.240625,0,0,275.96406,108,15.258408,15.328531,0.35102147,0.17602606,29.115937,1.0117053,0.046831538,0.33383156,1.9006851,2.0822581,3.7293813,1.4309273,0.43189326,86.752507,9.8487641,8.6574878,0.39232527,544,657.56431,0.23827897,120.87579,84.650371,1.0368657,0.3287179,10.074074,3.914277,0.3631708,0.34505891,0.29177029,0.46623042,0.03313838,5.6669202,0.49547776,0.54311288,0.44017915,0.39582515,0.064343086,0.061061976,0.047635115,90.793086,32.880241,3.0016455,3.4116132,3.0016455,3.4116132,49.268057,49.432822,23.739899,82.494488,0.034061471,49.268057,49.276012,0.99983856,-0.44685563,0.036325114,0.29478172,-0.014909919,0.25714379,9.15,1.7166667,10.11475,2.1234167,60.416667,9.15,12.1,11.290997,3860.2191,3853.2582,3852.4597,52.819992,0.0098309346,0.0081655578,0.17096206,47.985177,0.63912527,0.014457363,3.2709642,0.28097556,0.71779091,0.11556835,0.69784141,0.15002347,0.010348813,3821.6906,3904.1757,21.549734,2.1368004,3860.2191,0.013342547,66.56569,1.9492292e-07,7.6533044,115.50292,0.064133273,0.031718519,74.113926,1.1015678e-06,23.535793,0.97567147,0.60651718,3825.8342,3877.3909,15.69793,1.3382807,3852.4597,4.1530053e-13,3.5528899,3.5588479e-28,7.1457717,120.06085,0.10536169,4.2019037e-13,118.58161,3.6431467e-28,20.817421,4.3524746,0.8942075,0.063182058,0.49876906,0.15588542,155.02665,0.28097556,5.0631828e-17,263.05216,5.3642065e-32,0.21861042,92.477408,1,9.5405685e-17,21.487166,1.9046132e-31,2.1317669e-17,11.290922,9.5090628e-33
girdle_s23,girdle,23,mx_girdle_s23_ppw8,23,-8,1,0,1,8,0.240625,0,0,275.96406,103,15.509226,15.805969,0.35079693,0.14264263,30.428788,0.99267559,0.053456443,0.32930364,2.0343931,2.1832333,4.2115157,1.4801332,0.39896407,31.860007,25.259933,8.1599992,0.37468417,517,661.02444,0.2395328,127.85773,86.155781,1.0827061,0.33940199,10.038835,3.9305798,0.36536545,0.34893224,0.28570231,0.47148889,0.021847479,146.18894,0.50856174,0.52722165,0.41294603,0.40468902,0.078492228,0.068089327,0.018659906,93.365393,41.904471,178.76368,5.1087982,178.76368,5.1087982,50.335858,50.274155,21.535507,79.131534,0.024022956,50.335858,50.105968,1.0045881,-0.019526187,-0.03641254,-0.4719392,0.017910344,0.1943239,11.416667,3.3166667,10.602417,2.76525,74.833333,9.7666667,13.433333,10.43821,3841.472,3846.6318,3845.9885,48.548659,0.0093675889,0.0081126148,0.17061803,49.36183,0.59853042,0.012933967,3.2306515,0.27166046,0.68423232,0.12426144,0.70391247,0.11432379,0.0096637234,3787.192,3877.7556,25.140987,2.3575226,3841.472,0.019662611,233.89437,3.1101903e-07,22.913606,120.80283,0.42236846,0.052527852,114.71455,2.2196467e-06,22.50611,85.936555,0.40747922,3824.3194,3868.661,14.433907,1.1529321,3845.9885,1.5586307e-13,357.54631,5.9290878e-29,3.3170273,165.71118,0.026853415,1.6357166e-13,119.52681,6.5300657e-29,19.965606,89.92101,0.97289602,0.071147719,0.4721732,0.14299893,147.62011,0.27166046,3.2819452e-17,259.38965,2.6783438e-32,0.20053869,89.539166,1,6.0244014e-17,16.103832,9.0246729e-32,4.9016907e-18,52.992002,5.9744162e-34
girdle_s41,girdle,41,mx_girdle_s41_ppw8,41,-8,1,0,1,8,0.240625,0,0,275.96406,104,15.455149,15.40184,0.35304004,0.056807168,29.327107,0.95067684,0.047857915,0.30672096,1.9850372,2.0455372,4.138657,1.4114258,0.43691511,38.634963,16.129126,8.3276683,0.37391842,526,646.95233,0.23443355,122.99474,79.699888,1.0062793,0.31635274,10.115385,3.9617288,0.3530002,0.33895391,0.30804589,0.48195832,0.026256394,77.823064,0.54239023,0.55151135,0.38379593,0.3843573,0.073813842,0.064131347,0.0091211194,90.301398,61.503151,174.78156,2.9892842,174.78156,2.9892842,48.174425,48.155879,22.479204,79.739281,0.038738842,48.174425,49.376258,0.97565969,-1.0860907,-0.025939622,-0.3240719,0.013523581,0.32240222,10.55,2.25,11.057917,2.72675,72.1,10.033333,15.866667,10.155583,3850.8196,3849.6275,3848.9638,49.010754,0.0090110068,0.010554614,0.16136653,46.35021,0.56764735,0.014300362,3.1075095,0.24370476,0.60854907,0.13567887,0.73327072,0.11328701,0.0092613208,3811.194,3899.1792,20.914507,2.2848427,3850.8196,0.0077126761,29.724707,6.9148725e-08,10.156833,51.621755,0.11991973,0.0088848549,119.98349,9.1764491e-08,22.604207,64.468891,0.59395361,3832.8082,3867.6816,10.78957,0.90604715,3848.9638,4.051076e-13,0.61214569,7.1680617e-28,4.8304919,166.58627,0.10191631,4.0632211e-13,0.71767675,7.2111059e-28,14.336722,88.455427,0.89776085,0.06552002,0.4218895,0.12720363,146.23,0.24370476,4.039468e-18,214.31639,5.1276524e-34,0.17838769,85.366657,1,1.0455596e-16,16.429496,3.435325e-31,1.4164196e-17,3.238072,6.3045499e-33
girdle_s53,girdle,53,mx_girdle_s53_ppw8,53,-8,1,0,1,8,0.240625,0,0,275.96406,100,15.612053,15.203638,0.35034018,0.48502597,31.328246,1.0894899,0.058338375,0.35968648,1.8531167,2.0545064,3.2089098,1.4285144,0.45869238,120.82584,2.0470745,9.0251061,0.33930767,501,631.23816,0.22873927,125.99564,81.002646,1.0865616,0.34856368,10.02,4.1071015,0.36764275,0.34907204,0.28328521,0.45732958,0.035383599,174.91811,0.52167018,0.59638421,0.42406555,0.36359759,0.054264267,0.040018204,0.074714027,91.957024,51.139824,1.3875754,0.45881626,1.3875754,0.45881626,47.070243,45.953571,23.097185,79.455836,0.034758314,47.070243,47.110853,0.99913799,-1.2675768,0.073744654,0.3670052,0.002963913,0.8348561,9.3666667,1.7,9.7911667,1.9120833,52.633333,9.2,10.1,11.069399,3847.4238,3846.9667,3846.4308,44.144299,0.0086074056,0.0088479248,0.16738435,34.456486,0.69079418,0.015965031,3.0863906,0.24763747,0.74620997,0.14628516,0.73851198,0.17856802,0.008941998,3806.5111,3890.3101,24.409404,2.178055,3847.4238,0.010668687,160.66476,9.7135251e-08,11.190109,20.370931,0.10686206,0.015698333,89.031971,2.10311e-07,30.147184,2.7943373,0.77561897,3824.1761,3878.3084,16.71727,1.4073384,3846.4308,3.6127884e-14,44.987981,2.3747812e-30,12.495705,179.08066,0.28409272,6.6145727e-14,112.84857,7.9605328e-30,19.834818,2.7953801,0.71580542,0.040335554,0.45493938,0.14802808,167.42371,0.24763747,2.5901307e-17,288.08704,1.5567698e-32,0.20759146,91.513255,1,4.1036822e-17,21.858474,3.9077654e-32,1.0230311e-17,77.042262,2.4286153e-33
girdle_s71,girdle,71,mx_girdle_s71_ppw8,71,-8,1,0,1,8,0.240625,0,0,275.96406,103,15.498485,15.624608,0.35077288,0.21094965,31.095422,1.0416689,0.057047351,0.33449611,1.9151079,2.0046811,3.7992749,1.4350778,0.42600544,158.54885,9.8274101,8.6356304,0.37834785,518,642.59127,0.23285325,124.05237,84.708271,1.0176746,0.32370506,10.058252,3.8266999,0.35855479,0.35084465,0.29060056,0.4639905,0.0085444738,94.973822,0.48042593,0.50777712,0.45487589,0.41339303,0.064698178,0.078829852,0.027351182,97.122969,14.238996,7.6348044,2.0161223,7.6348044,2.0161223,46.749531,46.531812,23.597615,80.771173,0.04863843,46.749531,50.8876,0.91868217,-2.1876431,0.15912408,2.3443469,0.0068650558,0.61887168,9.15,2.0166667,10.536417,2.7298333,71.6,9.1,12.55,11.393473,3861.9678,3852.423,3851.5752,55.339022,0.0096377884,0.00862801,0.14086595,47.121367,0.60963719,0.01517799,3.1830819,0.29065541,0.65735625,0.14390227,0.71159303,0.1922007,0.0099862521,3809.592,3930.2082,30.075659,3.1231798,3861.9678,0.0074307481,11.434608,3.1038736e-08,7.0783941,159.25222,0.028164914,0.013941631,58.281412,1.0926124e-07,29.053109,12.322574,0.47448686,3829.5921,3868.3842,12.313885,1.0071751,3851.5752,3.2284347e-13,355.69789,3.4951281e-28,5.7404259,134.52941,0.11050128,2.8291503e-13,118.16733,2.6840532e-28,16.273674,5.8155355,0.88807638,0.079549957,0.50176087,0.15074805,145.26167,0.29065541,6.709215e-17,272.46712,1.007185e-31,0.21140589,97.527466,1,1.0668143e-16,24.370989,2.5464988e-31,3.4007959e-17,81.522108,2.5877778e-32
girdle_s89,girdle,89,mx_girdle_s89_ppw8,89,-8,1,0,1,8,0.240625,0,0,275.96406,105,15.484706,15.836159,0.35177429,-0.36739934,26.977015,0.84010171,0.03725013,0.27359209,1.8732954,2.0689052,4.0841049,1.4028903,0.4136697,172.93677,3.9371801,7.5475776,0.44157846,518,660.5375,0.23935635,127.51689,88.355996,1.0107608,0.31864707,9.8666667,3.6137203,0.35696992,0.34037452,0.30265556,0.47786655,0.040022518,137.6112,0.49422672,0.52729263,0.44580529,0.4093072,0.059967986,0.06340017,0.033065905,96.088667,27.851089,5.8970222,0.36269786,5.8970222,0.36269786,50.733994,51.637183,23.495354,82.838495,0.027187533,50.733994,49.685987,1.0210926,0.75253937,-0.032172683,-0.51606231,-0.0087167605,0.51960008,11.333333,2.8166667,11.425667,2.8825,77.85,10.316667,13.533333,9.8844781,3839.5787,3849.8729,3849.1729,49.983545,0.0090967585,0.0086218899,0.16393637,59.222069,0.59142428,0.016714337,3.1834312,0.28247801,0.56360126,0.13911445,0.71754316,0.11676248,0.0094366903,3808.7129,3864.8387,16.269341,1.4617694,3839.5787,0.051017076,104.43233,4.9998898e-06,13.10746,45.668229,0.33003986,0.022630371,10.109466,9.8381319e-07,16.593739,0.95300941,0.52895387,3823.3987,3873.2695,16.24845,1.2956237,3849.1729,3.3358277e-13,359.38279,2.1431502e-28,3.762027,154.25772,0.0272577,3.3757634e-13,119.75295,2.1947719e-28,22.468695,5.4429421,0.97230175,0.063415369,0.50154065,0.15620826,155.10067,0.28247801,4.3502371e-17,245.87892,3.943548e-32,0.21906317,95.937367,1,1.0459254e-16,22.590506,2.2796211e-31,3.6193858e-17,76.526572,2.7298014e-32
single_s11,single,11,singlemax_ppw8,11,3.93,1,1,0,8,0.240625,30.000728,0,275.96406,104,15.454786,15.913933,0.35511489,-0.040901515,33.948315,1.0043842,0.074233645,0.30361643,1.9499394,1.981759,3.9024143,1.4375696,0.46029366,73.531408,3.4113291,8.6209416,0.35460649,535,652.67289,0.23650649,121.99493,87.603291,1.0454745,0.33617598,10.288462,3.8507926,0.35992358,0.33905482,0.3010216,0.47254947,0.039950762,130.22363,0.71837172,0.73273574,0.16866884,0.15608127,0.11295944,0.11118299,0.014364016,28.746888,0.1908407,117.93332,76.798129,28.746888,0.1908407,42.818376,39.597185,23.319284,76.603294,0.04555842,42.818376,40.818051,1.0490059,0.62542349,-0.0082609566,-0.054825024,-0.0047346347,0.72902418,10.9,3.0166667,10.952417,2.5726667,69.033333,10.216667,11.816667,10.002844,3857.4499,3867.2249,3865.9819,67.132178,0.012217232,0.011998757,0.175025,43.559373,0.61849365,0.015459996,3.6922347,0.44323439,0.72453661,0.10053636,0.5881046,0.068594709,0.012617903,3808.5282,3938.2979,36.896287,3.3641312,3857.4499,0.015542477,288.38207,9.0228639e-08,36.277282,24.210373,0.49155644,0.059139932,116.52007,1.3063681e-06,27.834166,22.727174,0.28937456,3830.8137,3922.776,29.526329,2.378757,3865.9819,3.7268095e-13,1.4959914,8.1007409e-29,33.192847,29.212403,0.64259797,3.7468284e-13,119.05743,8.1880021e-29,24.749813,25.005512,0.35726807,0.15401827,0.73245051,0.206431,130.50256,0.44323439,3.5179771e-17,66.42446,1.4767447e-32,0.28949448,28.743598,1,1.4556063e-16,116.19683,2.528176e-31,5.1089343e-17,16.961377,3.1144406e-32
single_s7,single,7,mx_single_s7_ppw8,7,3.93,1,1,0,8,0.240625,30.000728,0,275.96406,101,15.592838,15.591439,0.35129672,0.23124267,31.454473,1.0086173,0.059046389,0.33740954,1.8161143,1.9374286,3.521467,1.3662593,0.495341,24.269578,5.0592562,8.8773999,0.32120505,501,627.61128,0.22742501,125.27171,91.424717,1.0095963,0.32734536,9.9207921,3.9387388,0.3782394,0.34942441,0.2723362,0.44143878,0.03621612,90.519683,0.68776194,0.70387852,0.17249603,0.16072669,0.13974203,0.13539479,0.016116578,30.910408,3.5357321,91.431865,82.843297,30.910408,3.5357321,43.213953,38.52473,21.875657,74.42942,0.041934591,43.213953,43.339591,0.99710108,-0.69160162,-0.051312013,-0.80773269,0.00446077,0.75130402,11.716667,2.3666667,10.921833,2.3485,61.666667,10.533333,11.733333,9.7501031,3859.076,3861.7901,3860.6189,65.646502,0.012142145,0.011998737,0.17850916,37.253589,0.57374754,0.020451989,3.6962131,0.43107313,0.71398259,0.083298584,0.57490733,0.082781095,0.012449033,3794.9917,3934.2679,33.945279,3.6090554,3859.076,0.024154675,124.77697,2.5746185e-07,21.865513,21.034141,0.21097443,0.052320034,57.717812,1.2079432e-06,38.689162,31.288415,0.66052482,3833.2437,3909.0581,25.525877,1.9637896,3860.6189,2.8075557e-13,8.9887449,6.1512683e-29,30.38072,33.49389,0.72028445,3.0217009e-13,117.83334,7.1254263e-29,18.927748,31.467255,0.2795798,0.16056003,0.70158623,0.19298953,125.50683,0.43107313,2.0118803e-17,25.03566,5.5259381e-33,0.27064445,30.89258,1,1.4222729e-16,110.5899,2.7616436e-31,7.797449e-17,22.648226,8.3005491e-32
