name,kind,az_deg,n_cross_axis_full,n_cross_axis_gate,n_cross_col_full,n_cross_col_gate,n_cross_col_gate_wt,n_cross_paper,n_grain_axis,n_grain_col_gate,chord_axis_mm,path_axis_mm,t_axis_us,c_axis_ms,c_vol_ms,c_slow_ms,v_sd_ms,cos2_beam,cos2_beam_col,a1_col,a3_col,skew_deg,skew_p90_deg,dv_all_rms,dv_all_mean,dv_all_p90,dv_cross_rms,dv_cross_mean,misor_cross_deg,normal_align,facing_frac_10,facing_frac_20,dark_all_0.001,dark_cross_0.001,dark_all_0.01,dark_cross_0.01,bright_half_area
girdle_s11,girdle,0,7,3,8.33,2.695,2.7544373,76,8,13,12.497461,99.979687,25.827326,3871.0817,3864.4554,3864.176,32.709594,0.077419789,0.079183523,0.59924664,0.040875672,2.6197403,4.0694373,0.0059999834,0.0045920709,0.010318709,0.0065820208,0.0046606455,52.842612,0.67840188,0.0029754248,0.061023709,0.20328432,0.36734694,0.8887569,0.81632653,0.16715607
girdle_s11,girdle,6,7,3,8.635,2.765,2.8514372,79,8,13,12.497461,99.979687,25.844317,3868.5366,3861.3377,3861.0305,34.328627,0.088540865,0.085413229,0.59924664,0.040875672,2.6495079,4.0982045,0.0063025886,0.0049615574,0.011001793,0.0054980846,0.0038019432,52.339316,0.6684161,0.0080923748,0.048576427,0.17427704,0.37432188,0.8681241,0.90777577,0.17569289
girdle_s11,girdle,12,8,3,9.37,2.92,3.029141,75,9,14,11.095486,99.859375,25.840947,3864.3853,3856.0738,3855.7149,37.104414,0.10811732,0.10939304,0.62206136,0.040778441,2.676859,4.1084332,0.0067212355,0.0053034944,0.011585238,0.0045721484,0.0030178032,51.927375,0.66395931,0.016500567,0.039624426,0.16433323,0.39041096,0.86068554,0.93321918,0.17874017
girdle_s11,girdle,18,10,4,10.245,3.005,3.1208491,77,11,14,9.0890625,99.979687,25.90002,3860.2166,3849.4359,3849.0234,39.755244,0.13529358,0.13453356,0.62206136,0.040778441,2.8198643,4.0957983,0.0070256797,0.0055934185,0.012368727,0.0044266473,0.0028945712,52.655374,0.65483691,0.018462005,0.049013781,0.17871001,0.37437604,0.82996964,0.94176373,0.16768302
girdle_s11,girdle,24,18,4,12.845,3.095,3.1975472,82,11,12,9.0890625,99.979687,25.978276,3848.5882,3842.3851,3841.9325,41.647228,0.16888191,0.1728845,0.62736648,0.037971394,2.9282866,4.0943139,0.007157121,0.0056751858,0.012111407,0.004862569,0.0034187943,51.631852,0.64831959,0.017410759,0.051086997,0.13466769,0.21970921,0.78480067,0.93376414,0.1757683
girdle_s11,girdle,30,17,9,10.82,3.12,3.1561503,87,12,10,8.3316406,99.979687,25.986835,3847.3207,3835.9074,3835.4249,43.05374,0.20741433,0.11377237,0.53656485,0.0488638,2.9487877,4.12989,0.0072747913,0.0057812219,0.01214984,0.0054392946,0.0040761693,52.339216,0.63127355,0.020868781,0.053358043,0.12539366,0.14102564,0.81169039,0.91346154,0.14757096
girdle_s11,girdle,36,15,3,11.905,3.04,3.075109,77,12,10,8.3316406,99.979687,26.101953,3830.3527,3830.8643,3830.3444,44.779208,0.24920679,0.14218437,0.53656485,0.0488638,2.993437,4.431329,0.0076508358,0.0059778463,0.012763738,0.0065037848,0.0051021615,52.694905,0.62955512,0.012669951,0.054380901,0.09514972,0.12664474,0.81415039,0.85032895,0.13751537
girdle_s11,girdle,42,11,3,12.02,3.085,3.2380466,80,12,12,8.3316406,99.979687,26.091396,3831.9025,3827.8871,3827.3089,47.309276,0.29243276,0.17606799,0.53261079,0.045130895,3.1269955,5.2895105,0.0084001275,0.0063882829,0.013732214,0.0075319083,0.0062551105,51.17716,0.61330574,0.0167188,0.058018122,0.14866922,0.084278768,0.74423855,0.80713128,0.14265805
girdle_s11,girdle,48,9,3,11.575,3.135,3.2462611,77,10,11,9.9979687,99.979687,26.055373,3837.2004,3827.298,3826.647,50.26332,0.33520307,0.20746065,0.55638202,0.047133358,3.1839085,5.7585243,0.0093421755,0.0071150137,0.014660331,0.0089033906,0.0074792186,52.576319,0.59632887,0.011136108,0.070201041,0.13774957,0.12759171,0.69374593,0.67942584,0.1432471
girdle_s11,girdle,54,14,3,11.11,2.805,2.8301849,79,11,11,9.0890625,99.979687,26.055436,3837.1911,3829.0422,3828.3265,52.766346,0.37564843,0.24311,0.55638202,0.047133358,3.3379737,6.2336196,0.010176132,0.0078054261,0.015586227,0.0087273161,0.0073101136,50.039296,0.63998364,0.026913667,0.071198172,0.13427558,0.11586453,0.66800771,0.62923351,0.14856365
girdle_s11,girdle,60,10,2,11.635,2.845,2.9089655,69,9,11,11.108854,99.979687,26.08934,3832.2045,3832.6486,3831.8925,54.30204,0.4120012,0.2788904,0.55638202,0.047133358,3.6423539,6.3346451,0.010711336,0.0081701754,0.016232931,0.0090909907,0.0075549544,50.002252,0.62753004,0.022918933,0.077167651,0.11084123,0.12126538,0.63609242,0.53427065,0.12873813
girdle_s11,girdle,66,8,2,12.93,2.77,2.8682694,76,9,13,11.108854,99.979687,25.893817,3861.1413,3837.2807,3836.5008,55.207386,0.44267259,0.28045227,0.61668467,0.042051706,3.9683469,6.6371022,0.010961393,0.008237186,0.016006091,0.0088464697,0.0071427065,49.888391,0.63707768,0.016847434,0.063045472,0.11223934,0.13718412,0.64008804,0.60108303,0.11479959
girdle_s11,girdle,72,23,3,11.09,2.705,2.8275441,80,12,12,8.3316406,99.979687,25.913663,3858.1843,3841.9102,3841.0959,56.427077,0.4663221,0.26704646,0.65901503,0.045187649,4.1907801,6.7633455,0.011098248,0.0083325278,0.01664257,0.0084428837,0.006736019,49.49495,0.65206096,0.0063846548,0.063006439,0.10469166,0.10536044,0.6546041,0.63216266,0.10419221
girdle_s11,girdle,78,13,6,9.95,2.575,2.70843,75,12,11,8.3216146,99.859375,25.970678,3845.0816,3845.5641,3844.6819,58.706447,0.48191615,0.28610525,0.66380926,0.045376135,4.2656873,7.0140601,0.011311516,0.0086093997,0.018164444,0.0081046693,0.0065571317,49.136308,0.69066438,0.008972405,0.066553174,0.094542038,0.11650485,0.64481998,0.68349515,0.10640559
girdle_s11,girdle,84,9,3,9.5,2.485,2.6818193,72,10,12,9.9979687,99.979687,25.963193,3850.8241,3847.5454,3846.5639,61.895429,0.48877319,0.30858486,0.65901503,0.045187649,4.2123569,7.0336238,0.011664364,0.0089901631,0.018639241,0.0086880707,0.0069514062,50.33365,0.68982961,0.0060342396,0.064640527,0.094084281,0.11468813,0.63887179,0.72635815,0.12224968
girdle_s11,girdle,90,8,3,9.38,2.355,2.5316225,64,9,11,11.108854,99.979687,26.035364,3840.1495,3847.5591,3846.4766,65.007991,0.48659354,0.33091078,0.65474936,0.045550372,4.0552318,6.9920724,0.012057904,0.0094632439,0.018984601,0.010088763,0.0077250865,50.84565,0.69205211,0.012010816,0.06794685,0.069982807,0.12101911,0.60159115,0.6836518,0.15071316
girdle_s11,girdle,96,11,3,9.64,2.33,2.4601415,72,11,11,9.0890625,99.979687,26.019686,3842.4633,3845.731,3844.5877,66.829669,0.47547247,0.37616885,0.63813101,0.052029977,3.8959955,6.9102633,0.012313077,0.0097328542,0.020319036,0.011651156,0.0087208915,49.717386,0.69988689,0.024517536,0.077195152,0.10118662,0.11158798,0.58111448,0.63304721,0.14988991
girdle_s11,girdle,102,12,3,11.785,2.37,2.4491711,72,13,12,7.6814904,99.859375,25.889791,3857.0946,3842.5468,3841.4177,66.406804,0.45589601,0.41185154,0.64755582,0.047345946,3.6895084,6.7222702,0.01226471,0.0095884179,0.022162904,0.012322821,0.0090005669,51.914803,0.67051163,0.020298359,0.073294454,0.095165689,0.10126582,0.61599632,0.62447257,0.15347301
girdle_s11,girdle,108,9,2,10.51,2.58,2.6263655,69,10,11,9.9979687,99.979687,25.895978,3860.8192,3838.7404,3837.7144,63.235715,0.42871975,0.40082009,0.65096579,0.047389722,3.619919,6.6943855,0.011805818,0.0091482949,0.02227982,0.01268655,0.0092931193,52.761035,0.64847838,0.01715438,0.077555326,0.15168013,0.14147287,0.60465085,0.59883721,0.15700023
girdle_s11,girdle,114,9,2,10.89,2.595,2.5044013,74,10,13,9.9979687,99.979687,25.92188,3856.9612,3835.1411,3834.2921,57.426329,0.39513142,0.39755803,0.56937663,0.039145521,3.5626954,6.843564,0.010921606,0.008570955,0.02005749,0.012030947,0.0088900846,52.051864,0.63971839,0.0057184223,0.063090716,0.13126112,0.20809249,0.63920801,0.61849711,0.1705928
girdle_s11,girdle,120,17,2,11.96,2.505,2.4221611,64,12,13,8.3316406,99.979687,26.030832,3840.818,3832.5079,3831.8608,50.059057,0.35659901,0.36924925,0.56937663,0.039145521,3.5046561,6.7733437,0.0097616745,0.0077379177,0.016282898,0.011212864,0.008733032,55.682977,0.63329173,0.0056651946,0.06868494,0.12111239,0.12774451,0.68416229,0.63872255,0.17595548
girdle_s11,girdle,126,15,5,12.54,2.595,2.4326914,70,12,13,8.3316406,99.979687,26.066828,3835.5142,3831.4155,3830.9266,43.486562,0.31480654,0.3358138,0.56937663,0.039145521,3.5481507,6.7470489,0.0086969236,0.0070001559,0.014591369,0.0095196705,0.007710782,57.555506,0.62154726,0.010936505,0.060323766,0.080077428,0.075144509,0.73736332,0.68400771,0.18109816
girdle_s11,girdle,132,12,3,12.86,2.675,2.5076386,73,11,13,9.0890625,99.979687,26.089494,3832.1819,3832.2198,3831.7949,40.514351,0.27158057,0.29871297,0.56937663,0.039145521,3.424983,5.8067481,0.0081732104,0.0067173516,0.013963906,0.0076561497,0.0063613776,57.388294,0.57247729,0.019489299,0.061376786,0.093858063,0.089719626,0.7739653,0.77570093,0.1965049
girdle_s11,girdle,138,14,3,15.42,2.475,2.437995,64,11,12,9.0890625,99.979687,26.088366,3832.3477,3835.0493,3834.5984,41.658431,0.22881027,0.26531111,0.55197594,0.040840782,3.0904825,4.2659882,0.008280206,0.0068674692,0.01330462,0.0066072434,0.0056325419,61.205872,0.58749252,0.023492904,0.064949247,0.07763428,0.076767677,0.74573425,0.86060606,0.20496543
girdle_s11,girdle,144,7,3,11.225,2.365,2.422698,59,8,11,12.497461,99.979687,26.027,3841.3835,3839.7505,3839.2399,44.252538,0.1883649,0.23536003,0.62670244,0.027921183,2.7089342,4.1242343,0.008602604,0.0071208948,0.013872576,0.0064946088,0.0056620299,59.61075,0.59921774,0.01836176,0.062736752,0.10494094,0.073995772,0.69365367,0.92600423,0.19934725
girdle_s11,girdle,150,7,3,11.06,2.25,2.3706259,68,8,12,12.497461,99.979687,25.965248,3850.5193,3845.8118,3845.2729,45.429053,0.15201213,0.18720855,0.60990268,0.029113223,2.4503626,4.0501985,0.0086606245,0.0071250026,0.013927013,0.0078396171,0.0065376013,59.103698,0.6255282,0.016957437,0.076537791,0.12273051,0.091111111,0.67001971,0.69555556,0.21305337
girdle_s11,girdle,156,7,3,9.275,2.43,2.5186334,60,8,13,12.497461,99.979687,25.8627,3865.787,3852.3728,3851.8664,44.043994,0.12134074,0.12765512,0.54954592,0.02829999,2.3192795,4.0924029,0.0082549068,0.0067686133,0.013543521,0.0086760746,0.0067799287,59.288364,0.60957998,0.01323239,0.070568311,0.11140721,0.10699588,0.68963764,0.66255144,0.2211555
girdle_s11,girdle,162,11,6,8.455,2.335,2.4375519,62,10,12,9.9979687,99.979687,25.80087,3875.051,3858.38,3857.9506,40.56298,0.097691228,0.083346227,0.52673327,0.028261473,2.3483839,4.0537605,0.0074851825,0.0059942593,0.012116036,0.0091120227,0.0068833681,61.72796,0.63701092,0.025071103,0.075331298,0.17699874,0.22269807,0.74783408,0.61027837,0.20238211
girdle_s11,girdle,168,8,4,8.57,2.45,2.5737685,67,9,11,11.095486,99.859375,25.751286,3877.8403,3862.828,3862.4813,36.427612,0.082097183,0.050547643,0.50340372,0.029327423,2.4319994,4.1084733,0.006645615,0.0051143346,0.010908605,0.0080689065,0.0058811527,62.32609,0.62923147,0.021285731,0.07883545,0.16969857,0.29591837,0.84782751,0.63265306,0.16784714
girdle_s11,girdle,174,8,2,8.36,2.4,2.415096,63,9,11,11.108854,99.979687,25.812638,3873.2844,3864.9726,3864.6809,33.395012,0.075240141,0.036889433,0.50340372,0.029327423,2.5246468,4.0233602,0.0060836433,0.0046204665,0.010703344,0.0061401331,0.0043520648,60.504203,0.66212735,0.016701945,0.06798411,0.17573636,0.35,0.87142244,0.82916667,0.13481584
girdle_s11,girdle,180,7,2,8.595,2.495,2.4842647,62,8,12,12.497461,99.979687,25.827107,3871.1144,3864.4554,3864.176,32.709594,0.077419789,0.03465307,0.49332293,0.030773816,2.6197403,4.0694373,0.0059999834,0.0045920709,0.010318709,0.0043064538,0.0031722424,60.543199,0.658702,0.0029754248,0.061023709,0.20328432,0.31262525,0.8887569,0.98797595,0.16715607
girdle_s11,girdle,186,7,2,8.99,2.495,2.4899515,73,8,12,12.497461,99.979687,25.844317,3868.5366,3861.3377,3861.0305,34.328627,0.088540865,0.041760307,0.49332293,0.030773816,2.6495079,4.0982045,0.0063025886,0.0049615574,0.011001793,0.0032775576,0.002435718,62.109883,0.67373445,0.0080923748,0.048576427,0.17427704,0.33066132,0.8681241,0.99198397,0.17569289
girdle_s11,girdle,192,8,2,11.195,2.565,2.5591786,79,9,12,11.095486,99.859375,25.840174,3864.5009,3856.0738,3855.7149,37.104414,0.10811732,0.05825124,0.49332293,0.030773816,2.676859,4.1084332,0.0067212355,0.0053034944,0.011585238,0.0041859426,0.0028457877,60.716747,0.65219198,0.016500567,0.039624426,0.16433323,0.36647173,0.86068554,0.97465887,0.17874017
girdle_s11,girdle,198,10,3,10.985,2.65,2.662654,75,11,12,9.0890625,99.979687,25.899794,3860.2503,3849.4359,3849.0234,39.755244,0.13529358,0.083405134,0.49332293,0.030773816,2.8198643,4.0957983,0.0070256797,0.0055934185,0.012368727,0.0056058024,0.0038088326,61.40819,0.62848669,0.018462005,0.049013781,0.17871001,0.38679245,0.82996964,0.89622642,0.16768302
girdle_s11,girdle,204,16,3,10.94,2.485,2.581067,58,11,11,9.0890625,99.979687,25.978276,3848.5882,3842.3851,3841.9325,41.647228,0.16888191,0.11154694,0.54332777,0.031732393,2.9282866,4.0943139,0.007157121,0.0056751858,0.012111407,0.0069945746,0.0052141015,61.246475,0.6310351,0.017410759,0.051086997,0.13466769,0.24748491,0.78480067,0.76056338,0.1757683
girdle_s11,girdle,210,17,6,12.28,2.64,2.7638808,64,12,10,8.3316406,99.979687,25.987891,3847.1643,3835.9074,3835.4249,43.05374,0.20741433,0.15010249,0.55844616,0.032558304,2.9487877,4.12989,0.0072747913,0.0057812219,0.01214984,0.0074174756,0.0058825343,59.166846,0.57666971,0.020868781,0.053358043,0.12539366,0.11742424,0.81169039,0.77651515,0.14757096
girdle_s11,girdle,216,15,2,13.08,2.48,2.5236004,63,12,10,8.3316406,99.979687,26.10104,3830.4867,3830.8643,3830.3444,44.779208,0.24920679,0.19150708,0.55844616,0.032558304,2.993437,4.431329,0.0076508358,0.0059778463,0.012763738,0.0073351521,0.0059696128,60.205205,0.58350939,0.012669951,0.054380901,0.09514972,0.10887097,0.81415039,0.80846774,0.13751537
girdle_s11,girdle,222,11,3,12.445,2.54,2.6141315,64,12,10,8.3316406,99.979687,26.092502,3831.7402,3827.8871,3827.3089,47.309276,0.29243276,0.23560058,0.55844616,0.032558304,3.1269955,5.2895105,0.0084001275,0.0063882829,0.013732214,0.0080954491,0.0068853263,59.289597,0.54985527,0.0167188,0.058018122,0.14866922,0.094488189,0.74423855,0.70866142,0.14265805
girdle_s11,girdle,228,9,3,11.37,2.55,2.5605826,66,10,13,9.9979687,99.979687,26.055373,3837.2004,3827.298,3826.647,50.26332,0.33520307,0.33001817,0.52980729,0.040455347,3.1839085,5.7585243,0.0093421755,0.0071150137,0.014660331,0.011199652,0.0091918077,58.760653,0.53859672,0.011136108,0.070201041,0.13774957,0.064705882,0.69374593,0.55686275,0.1432471
girdle_s11,girdle,234,14,2,13.415,2.54,2.5096264,66,11,14,9.0890625,99.979687,26.055436,3837.1911,3829.0422,3828.3265,52.766346,0.37564843,0.37146553,0.53815222,0.03996515,3.3379737,6.2336196,0.010176132,0.0078054261,0.015586227,0.013724311,0.010764194,57.184293,0.5106534,0.026913667,0.071198172,0.13427558,0.068897638,0.66800771,0.51968504,0.14856365
